ts,latency_ms,status,phase
1784435149.034,209.391,200,measure
1784435149.098,161.22,200,measure
1784435147.554,1853.702,200,measure
1784435149.243,209.319,200,measure
1784435147.686,1824.313,200,measure
1784435149.408,215.799,200,measure
1784435147.879,1821.652,200,measure
1784435149.624,141.216,200,measure
1784435149.51,380.676,200,measure
1784435149.891,89.401,200,measure
1784435149.701,312.255,200,measure
1784435148.507,1506.215,200,measure
1784435150.013,165.978,200,measure
1784435148.837,1374.711,200,measure
1784435150.014,206.334,200,measure
1784435148.706,1597.731,200,measure
1784435150.212,180.092,200,measure
1784435150.304,290.576,200,measure
1784435149.259,1345.351,200,measure
1784435150.392,320.619,200,measure
1784435150.594,137.735,200,measure
1784435149.452,1454.807,200,measure
1784435150.732,180.068,200,measure
1784435150.713,227.735,200,measure
1784435150.941,179.372,200,measure
1784435149.98,1222.237,200,measure
1784435149.765,1538.314,200,measure
1784435150.912,650.52,200,measure
1784435150.22,1402.142,200,measure
1784435151.12,540.217,200,measure
1784435150.179,1522.71,200,measure
1784435151.563,237.287,200,measure
1784435151.66,178.49,200,measure
1784435150.604,1396.514,200,measure
1784435151.8,233.783,200,measure
1784435151.622,475.948,200,measure
1784435150.907,1211.018,200,measure
1784435151.702,495.957,200,measure
1784435151.202,1099.077,200,measure
1784435152.118,216.787,200,measure
1784435152.198,267.426,200,measure
1784435151.303,1198.784,200,measure
1784435152.502,150.949,200,measure
1784435152.034,659.925,200,measure
1784435152.098,793.249,200,measure
1784435152.335,559.622,200,measure
1784435152.694,320.004,200,measure
1784435152.001,1119.586,200,measure
1784435152.891,244.64,200,measure
1784435153.136,103.111,200,measure
1784435153.014,235.352,200,measure
1784435151.839,1457.452,200,measure
1784435153.249,183.689,200,measure
1784435153.239,194.389,200,measure
1784435153.433,151.85,200,measure
1784435152.302,1319.167,200,measure
1784435153.434,195.458,200,measure
1784435153.621,160.907,200,measure
1784435152.465,1332.828,200,measure
1784435152.653,1455.988,200,measure
1784435153.782,414.712,200,measure
1784435153.798,430.665,200,measure
1784435152.895,1506.834,200,measure
1784435154.109,305.784,200,measure
1784435154.196,338.377,200,measure
1784435154.535,101.713,200,measure
1784435154.229,410.334,200,measure
1784435153.121,1592.124,200,measure
1784435154.415,449.619,200,measure
1784435153.296,1605.693,200,measure
1784435154.636,327.836,200,measure
1784435154.864,229.806,200,measure
1784435153.585,1520.259,200,measure
1784435154.964,257.027,200,measure
1784435155.094,241.758,200,measure
1784435155.336,104.237,200,measure
1784435155.221,245.227,200,measure
1784435153.629,1886.425,200,measure
1784435155.516,121.58,200,measure
1784435155.44,213.375,200,measure
1784435155.637,196.557,200,measure
1784435154.639,1468.282,200,measure
1784435154.402,1804.396,200,measure
1784435154.713,1498.809,200,measure
1784435154.902,1499.443,200,measure
1784435156.107,387.623,200,measure
1784435156.401,136.071,200,measure
1784435155.105,1492.617,200,measure
1784435155.467,1234.822,200,measure
1784435156.212,583.335,200,measure
1784435156.206,592.138,200,measure
1784435155.834,1067.889,200,measure
1784435156.495,439.822,200,measure
1784435156.702,242.776,200,measure
1784435156.598,535.091,200,measure
1784435156.798,364.155,200,measure
1784435155.654,1546.097,200,measure
1784435156.944,348.8,200,measure
1784435157.133,283.167,200,measure
1784435157.162,393.457,200,measure
1784435157.2,370.66,200,measure
1784435156.538,1163.428,200,measure
1784435157.701,132.549,200,measure
1784435156.902,1201.232,200,measure
1784435156.795,1312.66,200,measure
1784435157.57,623.192,200,measure
1784435156.935,1268.716,200,measure
1784435158.108,147.137,200,measure
1784435157.556,857.462,200,measure
1784435157.293,1215.065,200,measure
1784435158.413,145.817,200,measure
1784435157.416,1185.794,200,measure
1784435158.602,157.104,200,measure
1784435157.834,970.434,200,measure
1784435158.194,704.07,200,measure
1784435158.804,149.268,200,measure
1784435158.103,993.292,200,measure
1784435158.204,897.137,200,measure
1784435158.508,693.237,200,measure
1784435159.101,155.769,200,measure
1784435158.255,1039.574,200,measure
1784435158.759,558.862,200,measure
1784435158.559,932.764,200,measure
1784435159.201,361.057,200,measure
1784435158.898,795.952,200,measure
1784435159.294,402.091,200,measure
1784435159.096,699.708,200,measure
1784435158.953,950.442,200,measure
1784435159.696,240.031,200,measure
1784435159.563,533.403,200,measure
1784435159.796,300.868,200,measure
1784435159.256,865.754,200,measure
1784435159.694,501.656,200,measure
1784435160.097,237.746,200,measure
1784435159.318,1089.985,200,measure
1784435160.408,151.364,200,measure
1784435160.096,701.592,200,measure
1784435160.195,696.495,200,measure
1784435160.122,774.856,200,measure
1784435160.897,152.376,200,measure
1784435159.492,1616.17,200,measure
1784435160.798,444.11,200,measure
1784435160.892,453.103,200,measure
1784435159.904,1804.026,200,measure
1784435161.108,631.484,200,measure
1784435159.937,1937.732,200,measure
