ts,tenant,latency_ms,status,phase
1784412816.78,default-org,270.407,200,measure
1784412817.05,default-org,101.916,200,measure
1784412816.76,default-org,450.603,200,measure
1784412815.119,default-org,2231.782,200,measure
1784412817.351,default-org,59.014,200,measure
1784412815.68,default-org,1874.193,200,measure
1784412817.554,default-org,56.78,200,measure
1784412815.222,default-org,2637.664,200,measure
1784412817.86,default-org,59.216,200,measure
1784412813.452,default-org,4616.349,503,measure
1784412818.068,default-org,56.62,200,measure
1784412814.932,default-org,3630.516,200,measure
1784412817.21,default-org,1357.939,200,measure
1784412816.461,default-org,2195.971,200,measure
1784412818.568,default-org,118.158,200,measure
1784412816.971,default-org,1785.897,200,measure
1784412818.563,default-org,233.37,200,measure
1784412818.657,default-org,220.592,200,measure
1784412818.796,default-org,264.427,200,measure
1784412814.722,default-org,4437.527,503,measure
1784412816.859,default-org,2305.421,200,measure
1784412816.367,default-org,2900.938,200,measure
1784412817.41,default-org,1859.148,200,measure
1784412819.16,default-org,210.306,200,measure
1784412819.165,default-org,309.977,200,measure
1784412817.611,default-org,1953.73,200,measure
1784412819.269,default-org,298.615,200,measure
1784412819.475,default-org,151.12,200,measure
1784412819.626,default-org,137.376,200,measure
1784412817.152,default-org,2700.072,200,measure
1784412814.637,default-org,5421.03,503,measure
1784412815.374,default-org,4691.517,200,measure
1784412818.686,default-org,1583.418,200,measure
1784412818.757,default-org,1610.624,200,measure
1784412819.061,default-org,1702.471,200,measure
1784412818.125,default-org,2729.021,200,measure
1784412818.878,default-org,2002.078,200,measure
1784412819.268,default-org,1705.188,200,measure
1784412815.969,default-org,5008.909,503,measure
1784412819.568,default-org,1483.514,200,measure
1784412819.565,default-org,1522.308,200,measure
1784412817.919,default-org,3218.826,200,measure
1784412816.749,default-org,4589.949,200,measure
1784412819.37,default-org,1998.3,200,measure
